,county,lat,long,percent
0,Autauga AL,32.5322367,-86.6464395,0.2658783219120842
1,Baldwin AL,30.6592183,-87.7460666,0.21589444327263352
2,Barbour AL,31.8702531,-85.4051035,0.5136849422191329
3,Bibb AL,33.0158929,-87.1271475,0.261520190023753
4,Blount AL,33.9773575,-86.56644,0.12371907023244189
5,Bullock AL,32.1017589,-85.7172613,0.7630590003757985
6,Butler AL,31.751667,-86.6819689,0.4606149957877001
7,Calhoun AL,33.7705162,-85.8279089,0.33532222150161056
8,Chambers AL,32.9155039,-85.3940321,0.4702621312709602
9,Cherokee AL,34.0695153,-85.6542417,0.21801820227017077
10,Chilton AL,32.8540514,-86.7266071,0.19453670828083838
11,Choctaw AL,31.9909539,-88.2488894,0.4751506024096386
12,Clarke AL,31.6855211,-87.8186244,0.4572955021298101
13,Clay AL,33.2703999,-85.8635254,0.26673671570099067
14,Cleburne AL,33.6719637,-85.5161261,0.15400475812846948
15,Coffee AL,31.402258,-85.9896022,0.24911482043500252
16,Colbert AL,34.703112,-87.8014569,0.3919606585418003
17,Conecuh AL,31.4309257,-86.9887221,0.5062660210766163
18,Coosa AL,32.9314453,-86.2434818,0.41582843044220913
19,Covington AL,31.2439873,-86.4487206,0.20475912598067822
20,Crenshaw AL,31.7328256,-86.3192219,0.31941414770956683
21,Cullman AL,34.1319229,-86.8692666,0.14661752328989755
22,Dale AL,31.4306536,-85.609476,0.28485207738319773
23,Dallas AL,32.3335397,-87.1143556,0.6973703049682624
24,Elmore AL,32.597229,-86.1427347,0.25233197125546003
25,Escambia AL,31.1222867,-87.1684097,0.36915730714910217
26,Etowah AL,34.0476407,-86.0342629,0.3010345638372913
27,Fayette AL,33.7161568,-87.7642923,0.22866851245909892
28,Franklin AL,34.4419892,-87.8428144,0.2920158393958928
29,Geneva AL,31.0923822,-85.8210224,0.18012367491166079
30,Greene AL,32.8444965,-87.9642005,0.846629213483146
31,Hale AL,32.7527958,-87.6230608,0.6260557676732617
32,Henry AL,31.5169779,-85.2399712,0.3519406392694064
33,Houston AL,31.1581831,-85.2964111,0.29502838875900567
34,Jackson AL,34.764114,-85.9800556,0.282937260047626
35,Jefferson AL,33.5534439,-86.8965359,0.5260497897459183
36,Lamar AL,33.7870852,-88.0874309,0.22969578565447948
37,Lauderdale AL,34.9041221,-87.6509966,0.33883111255551945
38,Lawrence AL,34.529776,-87.3218651,0.35919784580498865
39,Lee AL,32.6040644,-85.3530477,0.3933295314483342
40,Limestone AL,34.8102387,-86.9813995,0.27719337826785867
41,Lowndes AL,32.147888,-86.6505859,0.7641271107565484
42,Macon AL,32.3870267,-85.692887,0.8702135847604388
43,Madison AL,34.7642377,-86.5510802,0.39994453724066326
44,Marengo AL,32.2475911,-87.791091,0.5345410418653029
45,Marion AL,34.1382194,-87.881551,0.18579099545642297
46,Marshall AL,34.3095637,-86.3216681,0.19342258797518885
47,Mobile AL,30.6845725,-88.1965682,0.45040717357489246
48,Monroe AL,31.5803324,-87.3832656,0.45890922674635787
49,Montgomery AL,32.2028812,-86.2044615,0.6189415643028139
50,Morgan AL,34.4544844,-86.8464021,0.27246923342051377
51,Perry AL,32.6390053,-87.2938269,0.7489752418429251
52,Pickens AL,33.2967933,-88.0968631,0.463531370304859
53,Pike AL,31.7986508,-85.9416035,0.4278018005245623
54,Randolph AL,33.2964753,-85.4640679,0.2960184650894403
55,Russell AL,32.2898113,-85.1869798,0.5561735261401557
56,Shelby AL,33.2630428,-86.6780894,0.2167511647767196
57,Sumter AL,32.5974811,-88.2000571,0.7714529671267967
58,Talladega AL,33.3693135,-86.1759302,0.4166541815239865
59,Tallapoosa AL,32.8633076,-85.7996176,0.3355993414413936
60,Tuscaloosa AL,33.2902197,-87.5227834,0.407787250286296
61,Walker AL,33.7915581,-87.3010936,0.22990077486764138
62,Washington AL,31.4052172,-88.1975644,0.3390293916609706
63,Wilcox AL,31.9900824,-87.3049349,0.7430926576095253
64,Winston AL,34.1545665,-87.3653458,0.13238624665431337
65,Apache AZ,35.385084,-109.4901722,0.6633782110801609
66,Cochise AZ,31.8401287,-109.7751627,0.378466624492378
67,Coconino AZ,35.8296919,-111.7737277,0.5655603023332237
68,Gila AZ,33.7896177,-110.8118696,0.35753437383872166
69,Graham AZ,32.9318277,-109.8783103,0.3044285111767187
70,Greenlee AZ,33.2388723,-109.2423231,0.44048419636852726
71,Maricopa AZ,33.3451756,-112.4989297,0.4375318729759298
72,Mohave AZ,35.717705,-113.7496891,0.2790029995714898
73,Navajo AZ,35.3907852,-110.3210248,0.45386366680058926
74,Pima AZ,32.1280427,-111.7836574,0.5264905166775671
75,Pinal AZ,32.9185209,-111.3663396,0.40904768499284494
76,Yavapai AZ,34.631071,-112.5772247,0.33822282939281834
77,Yuma AZ,32.7739424,-113.910905,0.4304578933568517
78,Arkansas AR,34.2895697,-91.3765466,0.37804126886356637
79,Ashley AR,33.1908354,-91.7722672,0.3609392753440222
80,Baxter AR,36.2802684,-92.3299488,0.2674388541289622
81,Benton AR,36.3378189,-94.2562984,0.28560253353016135
82,Boone AR,36.3042991,-93.0792364,0.24507829250860894
83,Bradley AR,33.4665491,-92.1691559,0.39676889375684554
84,Calhoun AR,33.5604604,-92.513879,0.30358785648574055
85,Carroll AR,36.3373704,-93.5409718,0.36295787096140625
86,Chicot AR,33.2671393,-91.2971578,0.6074294886493924
87,Clark AR,34.0533162,-93.1762085,0.45320489951242715
88,Clay AR,36.3673021,-90.4187041,0.3401174168297456
89,Cleburne AR,35.5663146,-92.0599504,0.22495063106379326
90,Cleveland AR,33.8932006,-92.1887141,0.25872627066748316
91,Columbia AR,33.2230377,-93.2328433,0.37620306716023266
92,Conway AR,35.265702,-92.6892479,0.388745148771022
93,Craighead AR,35.8277285,-90.6314213,0.3320820189274448
94,Crawford AR,35.5830114,-94.2362187,0.23704531105822932
95,Crittenden AR,35.2118788,-90.3153317,0.5675400813591769
96,Cross AR,35.2856921,-90.7639835,0.3411165993114803
97,Dallas AR,33.9678233,-92.6539989,0.4335278858625162
98,Desha AR,33.8287519,-91.2441034,0.5527149321266969
99,Drew AR,33.5872418,-91.7227781,0.3965023368008443
100,Faulkner AR,35.1465478,-92.3369277,0.3285335262904004
